Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Marasti,178000,,False,True,3, 73, 5/6, Dec
Marasti,133300,,True,True,3, 62, 3/6, Semidec
Zorilor,155646,,True,True,3, 63, 1/4, Dec
Manastur,150000,Comision 0%,False,True,3, 70, 6/10, Dec
Manastur,127990,Comision 0%,False,True,2, 49, 7/10, Semidec
Gheorgheni,185000,Comision 0%,False,True,3, 65, Parter/4, Dec
Buna Ziua,119900,Comision 0%,False,True,1, 45, 1/3, Semidec
Calea Turzii,129000,Comision 0%,False,True,2, 50, 2/6, Semidec
Intre Lacuri,145000,,False,True,3, 65, 4/4, Semidec
Central,289000,Comision 0%,False,True,3, 78, 2/2, Dec
Semicentral,184900,,False,True,2, 57, 4/6, Dec
Grigorescu,139900,,True,True,3, 82, 7/11, Semidec
Semicentral,200000,Comision 0%,False,True,3, 92, 2/2, Dec
Zorilor,144900,,False,True,2, 44.55, 1/4, Dec
Zorilor,104179,,True,True,1, 41, 1/4, Semidec
Zorilor,159900,Comision 0%,False,True,3, 97, Mansarda/3, Dec
Zorilor,146575,,True,True,2, 53, 4/4, Semidec
Dambul Rotund,116500,,False,True,3, 50, Parter/3, Semidec
Semicentral,185775,Comision 0%,True,True,3, 69.89, 5/6, Semidec
Zorilor,97000,,False,True,2, 39, 1/4, Semidec
Semicentral,121000,,False,True,2, 45.47, 3/6, Semidec
Central,85000,,False,True,2, 52, Parter/1, Dec
Gheorgheni,289000,,False,True,3, 90, 10/10, Semidec
Borhanci,139000,,False,True,2, 52, 1/2, Semidec
Central,285000,,False,True,3, 86, Parter/4, Semidec
Manastur,155000,,False,True,2, 51, 10/24, Semidec
Central,142500,,False,True,2, 46, 2/2, Semidec
Manastur,215000,,False,True,3, 60, 7/7, Semidec
Central,155900,,False,True,3, 70.48, 2/6, Semidec
Manastur,124900,Comision 0%,False,True,3, 68, 1/4, Dec
Central,235000,,False,True,4, 155, Parter/1, Semidec
Manastur,205000,,False,True,4, 100, 1/10, Dec
Gheorgheni,139000,Comision 0%,False,True,3, 63, 9/10, Semidec
Buna Ziua,205000,,False,True,3, 82, 5/6, Dec
Gheorgheni,195000,,False,True,3, 67, 2/9, Semidec
Marasti,126500,,False,True,2, 49, 8/9, Semidec
Central,242000,Comision 0%,False,True,2, 85, 1/1, Semidec
