Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Marasti,178000,,False,3,73.0, 5/6, Dec
Zorilor,155646,,True,3,63.0, 1/4, Dec
Manastur,150000,Comision 0%,False,3,70.0, 6/10, Dec
Manastur,127990,Comision 0%,False,2,49.0, 7/10, Semidec
Gheorgheni,185000,Comision 0%,False,3,65.0, Parter/4, Dec
Buna Ziua,119900,Comision 0%,False,1,45.0, 1/3, Semidec
Intre Lacuri,145000,,False,3,65.0, 4/4, Semidec
Central,289000,Comision 0%,False,3,78.0, 2/2, Dec
Grigorescu,139900,,True,3,82.0, 7/11, Semidec
Semicentral,200000,Comision 0%,False,3,92.0, 2/2, Dec
Zorilor,159900,Comision 0%,False,3,97.0, Mansarda/3, Dec
Zorilor,146575,,True,2,53.0, 4/4, Semidec
Dambul Rotund,116500,,False,3,50.0, Parter/3, Semidec
Semicentral,185775,Comision 0%,True,3,69.89, 5/6, Semidec
Semicentral,121000,,False,2,45.47, 3/6, Semidec
Central,85000,,False,2,52.0, Parter/1, Dec
Borhanci,139000,,False,2,52.0, 1/2, Semidec
Central,285000,,False,3,86.0, Parter/4, Semidec
Central,142500,,False,2,46.0, 2/2, Semidec
Manastur,215000,,False,3,60.0, 7/7, Semidec
Central,155900,,False,3,70.48, 2/6, Semidec
Manastur,124900,Comision 0%,False,3,68.0, 1/4, Dec
Central,235000,,False,4,155.0, Parter/1, Semidec
Manastur,205000,,False,4,100.0, 1/10, Dec
Gheorgheni,139000,Comision 0%,False,3,63.0, 9/10, Semidec
Marasti,126500,,False,2,49.0, 8/9, Semidec
Central,242000,Comision 0%,False,2,85.0, 1/1, Semidec
Central,280000,,False,4,112.0, Parter/2, Dec
Semicentral,155000,,False,3,60.0, Parter, Semidec
Sopor,103000,,False,1,38.0, 2/6, Dec
Zorilor,248000,,False,4,78.0, 3/4, Dec
Sopor,140000,,False,2,53.75, 6/7, Semidec
Ultracentral,182421,Comision 0%,True,2,54.37, 1/3, Dec
Europa,234000,,False,3,117.0, Parter/1, Semidec
